Label,Compound Type,Condition,Template,Recommendation,Data Source,Field Mapping Notes,Priority
🔴 High Utilization,Revolving Credit Overuse,creditutilizationratio > 80,"Your [Facility] with [Lender Type] has a utilization rate of [creditutilizationratio]% – well above the recommended threshold.","Credit utilization above 30% can signal financial stress to lenders. Aim to pay off balances early in the billing cycle, or request a credit limit increase if your income supports it.",CCRIS,"Calculate: (Total Outstanding Balance / Limit) * 100 | Apply only to CRDTCARD and OVRDRAFT",High
🟠 Moderate Utilization,Elevated Credit Use,"creditutilizationratio > 50 and creditutilizationratio <= 80","Your [Facility] with [Lender Type] shows [creditutilizationratio]% utilization, which is above ideal levels.","While not critical, utilization above 50% can impact your score. Try to keep balances below 30% of your limit for optimal credit health.",CCRIS,"For revolving credit only (Facility = CRDTCARD or OVRDRAFT)",Medium
🟠 Missed Payments,Payment Conduct Issues,"payment_conduct_code >= 1 and payment_conduct_code <= 2","Your [Facility] shows recent payment issues (code [payment_conduct_code]) in the last 12 months.","Payment codes 1-2 indicate missed or late payments. Contact your lender immediately to bring the account current. Set up auto-debit to prevent future delays.",CCRIS,"Conduct of Account column (last 12 months) | Codes: 0=current, 1=1-30 days late, 2=31-60 days late",High
🟠 Missed Payments,Serious Delinquency,payment_conduct_code >= 3,"Your [Facility] has serious delinquency (code [payment_conduct_code]) indicating 60+ days overdue.","Accounts 60+ days overdue severely damage your credit. Reach out to your lender immediately to negotiate a payment plan or restructuring.",CCRIS,"Code 3=61-90 days, 4=91-120 days, etc. | Take MAX code from 12-month history",Critical
🟡 Frequent Applications,High Application Volume,numapplicationslast12months > 3,"You've applied for [numapplicationslast12months] credit facilities in the past year.","Each application triggers a hard inquiry, temporarily lowering your score. Space out applications and use pre-qualification tools when available.",CCRIS Summary,"CCRIS Summary section > Credit Applications > Approved in past 12 months + Pending",Medium
🟡 Pending Applications,Multiple Pending,numpendingapplications > 1,"You have [numpendingapplications] credit applications still pending.","Multiple pending applications suggest credit shopping or desperation. Wait for current applications to complete before submitting new ones.",CCRIS Summary,"CCRIS Summary section > Credit Applications > Pending",Medium
🟡 High Decline Rate,Frequent Rejections,application_decline_rate > 50,"[application_decline_rate]% of your recent applications have been declined.","Frequent rejections hurt your score and suggest issues with your credit profile. Review your credit report, address problems, and wait 3-6 months before reapplying.",CCRIS Summary,"Calculate: If both approved and pending data available, infer declined = total applied - (approved + pending)",Low
🟣 Thin Credit File,Limited Account Diversity,distinct_account_types <= 1,"Your credit file shows only [distinct_account_types] type of account.","A diverse credit mix (cards, loans, mortgages) demonstrates responsible credit management. Consider adding different account types gradually.",CCRIS,"Count distinct Facility types | Types: OTLNFNCE, CRDTCARD, HSLNFNCE, PCPASCAR, OVRDRAFT, etc.",Medium
🟣 Thin Credit File,No Revolving Credit,has_credit_card == false,"Your credit file has no credit card history.","Credit cards, when used responsibly, help build credit history. Consider a secured card if you're starting out.",CCRIS,"Check if any row has Facility = 'CRDTCARD'",Low
🟣 Thin Credit File,No Installment Loans,has_installment_loan == false,"Your credit file lacks installment loan history (auto, personal, housing loans).","Adding a small installment loan and repaying it consistently can help diversify your credit mix and strengthen your profile.",CCRIS,"Check for Facility = 'HSLNFNCE', 'PCPASCAR', 'OTLNFNCE' (excluding credit cards)",Low
⚪ Short Credit History,New Credit Profile,oldest_account_months < 24,"Your oldest account is only [oldest_account_months] months old.","Credit history length matters. Keep your oldest accounts open and active to build a stronger credit timeline.",CCRIS,"Find MIN(Date) from Loan Information section | Calculate: months_between(today, earliest_date)",Medium
⚪ Recent Enquiries,High Recent Activity,recent_enquiries >= 3,"You've made [recent_enquiries] credit enquiries in the last 30 days.","Multiple enquiries in a short period can lower your score. Limit applications and use pre-qualification tools to check eligibility without hard inquiries.",CCRIS Summary,"If available in derivatives section, otherwise not in standard report",Low
⚪ Trade Reference Issues,Overdue Trade Accounts,trade_ref_amount_overdue > 0,"You have RM [trade_ref_amount_overdue] overdue with trade references, with amounts in the [aging_bucket] aging bucket.","Trade reference defaults can block B2B transactions. Clear these immediately and request written confirmation of settlement from the creditor.",Trade Reference (E),"Sum amounts in aging columns: 31-60 Days, 61-90 Days, 91-120 Days, 121-150 Days, 151-180 Days, >180 Days",High
